date,region,product,revenue,units_sold,customer_count
2024-09-01,North,Product A,809.11,16,8
2024-09-01,North,Product B,715.64,14,7
2024-09-01,North,Product C,831.34,16,8
2024-09-01,North,Product D,960.19,19,9
2024-09-01,North,Product E,701.53,14,7
2024-09-01,South,Product A,701.53,14,7
2024-09-01,South,Product B,968.46,19,9
2024-09-01,South,Product C,848.96,16,8
2024-09-01,South,Product D,666.89,13,6
2024-09-01,South,Product E,815.86,16,8
2024-09-01,East,Product A,667.78,13,6
2024-09-01,East,Product B,667.44,13,6
2024-09-01,East,Product C,771.61,15,7
2024-09-01,East,Product D,454.36,9,4
2024-09-01,East,Product E,482.09,9,4
2024-09-01,West,Product A,653.23,13,6
2024-09-01,West,Product B,586.91,11,5
2024-09-01,West,Product C,782.25,15,7
2024-09-01,West,Product D,602.34,12,6
2024-09-01,West,Product E,528.11,10,5
2024-09-01,Central,Product A,951.74,19,9
2024-09-01,Central,Product B,702.76,14,7
2024-09-01,Central,Product C,745.94,14,7
2024-09-01,Central,Product D,526.27,10,5
2024-09-01,Central,Product E,655.86,13,6
2024-09-02,North,Product A,749.86,14,7
2024-09-02,North,Product B,564.71,11,5
2024-09-02,North,Product C,788.7,15,7
2024-09-02,North,Product D,645.46,12,6
2024-09-02,North,Product E,690.79,13,6
2024-09-02,South,Product A,645.3,12,6
2024-09-02,South,Product B,1005.34,20,10
2024-09-02,South,Product C,731.6,14,7
2024-09-02,South,Product D,578.4,11,5
2024-09-02,South,Product E,854.26,17,8
2024-09-02,East,Product A,554.46,11,5
2024-09-02,East,Product B,764.23,15,7
2024-09-02,East,Product C,446.07,8,4
2024-09-02,East,Product D,538.72,10,5
2024-09-02,East,Product E,762.47,15,7
2024-09-02,West,Product A,841.93,16,8
2024-09-02,West,Product B,758.73,15,7
2024-09-02,West,Product C,716.62,14,7
2024-09-02,West,Product D,689.41,13,6
2024-09-02,West,Product E,516.66,10,5
2024-09-02,Central,Product A,627.97,12,6
2024-09-02,Central,Product B,666.0,13,6
2024-09-02,Central,Product C,888.68,17,8
2024-09-02,Central,Product D,784.0,15,7
2024-09-02,Central,Product E,474.92,9,4
2024-09-03,North,Product A,778.65,15,7
2024-09-03,North,Product B,674.93,13,6
2024-09-03,North,Product C,632.25,12,6
2024-09-03,North,Product D,820.71,16,8
2024-09-03,North,Product E,882.03,17,8
2024-09-03,South,Product A,867.45,17,8
2024-09-03,South,Product B,608.51,12,6
2024-09-03,South,Product C,686.03,13,6
2024-09-03,South,Product D,779.7,15,7
2024-09-03,South,Product E,873.92,17,8
2024-09-03,East,Product A,661.17,13,6
2024-09-03,East,Product B,704.1,14,7
2024-09-03,East,Product C,569.45,11,5
2024-09-03,East,Product D,556.3,11,5
2024-09-03,East,Product E,850.08,17,8
2024-09-03,West,Product A,929.6,18,9
2024-09-03,West,Product B,720.72,14,7
2024-09-03,West,Product C,878.01,17,8
2024-09-03,West,Product D,784.14,15,7
2024-09-03,West,Product E,636.9,12,6
2024-09-03,Central,Product A,784.1,15,7
2024-09-03,Central,Product B,956.19,19,9
2024-09-03,Central,Product C,726.01,14,7
2024-09-03,Central,Product D,960.08,19,9
2024-09-03,Central,Product E,348.11,6,3
2024-09-04,North,Product A,848.83,16,8
2024-09-04,North,Product B,741.68,14,7
2024-09-04,North,Product C,685.4,13,6
2024-09-04,North,Product D,742.37,14,7
2024-09-04,North,Product E,439.21,8,4
2024-09-04,South,Product A,696.97,13,6
2024-09-04,South,Product B,781.06,15,7
2024-09-04,South,Product C,944.47,18,9
2024-09-04,South,Product D,653.43,13,6
2024-09-04,South,Product E,611.12,12,6
2024-09-04,East,Product A,655.84,13,6
2024-09-04,East,Product B,862.46,17,8
2024-09-04,East,Product C,776.92,15,7
2024-09-04,East,Product D,651.75,13,6
2024-09-04,East,Product E,803.83,16,8
2024-09-04,West,Product A,743.15,14,7
2024-09-04,West,Product B,870.22,17,8
2024-09-04,West,Product C,626.63,12,6
2024-09-04,West,Product D,681.22,13,6
2024-09-04,West,Product E,671.82,13,6
2024-09-04,Central,Product A,515.61,10,5
2024-09-04,Central,Product B,772.17,15,7
2024-09-04,Central,Product C,767.05,15,7
2024-09-04,Central,Product D,729.74,14,7
2024-09-04,Central,Product E,694.79,13,6
2024-09-05,North,Product A,521.08,10,5
2024-09-05,North,Product B,665.67,13,6
2024-09-05,North,Product C,677.0,13,6
2024-09-05,North,Product D,610.2,12,6
2024-09-05,North,Product E,703.37,14,7
2024-09-05,South,Product A,785.55,15,7
2024-09-05,South,Product B,1001.0,20,10
2024-09-05,South,Product C,752.2,15,7
2024-09-05,South,Product D,764.26,15,7
2024-09-05,South,Product E,716.0,14,7
2024-09-05,East,Product A,447.9,8,4
2024-09-05,East,Product B,722.96,14,7
2024-09-05,East,Product C,735.57,14,7
2024-09-05,East,Product D,1084.88,21,10
2024-09-05,East,Product E,698.86,13,6
2024-09-05,West,Product A,770.65,15,7
2024-09-05,West,Product B,721.77,14,7
2024-09-05,West,Product C,556.94,11,5
2024-09-05,West,Product D,892.94,17,8
2024-09-05,West,Product E,836.12,16,8
2024-09-05,Central,Product A,841.81,16,8
2024-09-05,Central,Product B,594.63,11,5
2024-09-05,Central,Product C,930.73,18,9
2024-09-05,Central,Product D,523.04,10,5
2024-09-05,Central,Product E,812.13,16,8
2024-09-06,North,Product A,1042.22,20,10
2024-09-06,North,Product B,581.15,11,5
2024-09-06,North,Product C,642.64,12,6
2024-09-06,North,Product D,739.17,14,7
2024-09-06,North,Product E,651.75,13,6
2024-09-06,South,Product A,499.96,9,4
2024-09-06,South,Product B,734.66,14,7
2024-09-06,South,Product C,570.75,11,5
2024-09-06,South,Product D,793.37,15,7
2024-09-06,South,Product E,591.46,11,5
2024-09-06,East,Product A,949.38,18,9
2024-09-06,East,Product B,611.2,12,6
2024-09-06,East,Product C,678.04,13,6
2024-09-06,East,Product D,842.64,16,8
2024-09-06,East,Product E,546.32,10,5
2024-09-06,West,Product A,757.69,15,7
2024-09-06,West,Product B,914.19,18,9
2024-09-06,West,Product C,491.73,9,4
2024-09-06,West,Product D,751.49,15,7
2024-09-06,West,Product E,762.39,15,7
2024-09-06,Central,Product A,838.05,16,8
2024-09-06,Central,Product B,545.44,10,5
2024-09-06,Central,Product C,533.33,10,5
2024-09-06,Central,Product D,800.38,16,8
2024-09-06,Central,Product E,767.77,15,7
2024-09-07,North,Product A,758.92,15,7
2024-09-07,North,Product B,772.79,15,7
2024-09-07,North,Product C,624.42,12,6
2024-09-07,North,Product D,756.28,15,7
2024-09-07,North,Product E,765.07,15,7
2024-09-07,South,Product A,619.46,12,6
2024-09-07,South,Product B,992.4,19,9
2024-09-07,South,Product C,791.2,15,7
2024-09-07,South,Product D,550.52,11,5
2024-09-07,South,Product E,817.61,16,8
2024-09-07,East,Product A,581.83,11,5
2024-09-07,East,Product B,836.48,16,8
2024-09-07,East,Product C,890.18,17,8
2024-09-07,East,Product D,604.09,12,6
